,RK,PLAYER,TEAM,GP,GS,IP,H,R,ER,BB,SO,W,L,SV,BLSV,WAR,WHIP,ERA
3,124,Aaron Heilman,NYM,53,7,108.0,87,40,38,37,106,5,3,5,1,2.1,1.15,3.17
4,125,Jose Santiago,NYM,4,0,5.2,10,2,2,2,3,0,0,0,0,0.1,2.12,3.18
5,126,Aaron Small,NYY,15,9,76.0,71,27,27,24,37,10,0,0,1,2.6,1.25,3.20
6,,Jarrod Washburn,LAA,29,29,177.1,184,66,63,51,94,8,8,0,0,4.0,1.33,3.20
7,128,Joey Eischen,WAS,57,0,36.1,34,14,13,19,30,2,1,0,1,0.6,1.46,3.22
8,129,Kiko Calero,OAK,58,0,55.2,45,20,20,18,52,4,1,1,1,0.9,1.13,3.23
9,130,Jason Frasor,TOR,67,0,74.2,67,31,27,28,62,3,5,1,2,1.0,1.27,3.25
10,RK,PLAYER,TEAM,GP,GS,IP,H,R,ER,BB,SO,W,L,SV,BLSV,WAR,WHIP,ERA
11,131,Carlos Zambrano,CHC,33,33,223.1,170,88,81,86,202,14,6,0,0,5.3,1.15,3.26
12,132,Joe Beimel,TB,7,0,11.0,15,4,4,4,3,0,0,0,0,0.2,1.73,3.27
13,133,Chad Qualls,HOU,77,0,79.2,73,33,29,23,60,6,4,0,0,0.7,1.21,3.28
14,134,Aaron Rakers,BAL,10,0,13.2,11,5,5,3,11,1,0,0,0,0.3,1.02,3.29
15,135,Todd Williams,BAL,72,0,76.1,72,34,28,26,38,5,5,1,2,0.8,1.28,3.30
16,136,Scott Schoeneweis,TOR,80,0,57.0,54,23,21,25,43,3,4,1,3,1.0,1.39,3.32
17,137,Mike MacDougal,KC,68,0,70.1,69,32,26,24,72,5,6,21,4,1.3,1.32,3.33
18,138,Ben Sheets,MIL,22,22,156.2,142,66,58,25,141,10,9,0,0,3.3,1.07,3.33
19,139,Scott Baker,MIN,10,9,53.2,48,21,20,14,32,3,3,0,0,1.1,1.16,3.35
20,140,Matt Wise,MIL,49,0,64.1,37,25,24,25,62,4,4,1,2,1.1,0.96,3.36
21,RK,PLAYER,TEAM,GP,GS,IP,H,R,ER,BB,SO,W,L,SV,BLSV,WAR,WHIP,ERA
22,141,Ray King,STL,77,0,40.0,46,17,15,16,23,4,4,0,6,0.4,1.55,3.38
23,,Josh Beckett,FLA,29,29,178.2,153,75,67,58,166,15,8,0,0,3.4,1.18,3.38
24,,Jason Grilli,DET,3,2,16.0,14,6,6,6,5,1,1,0,0,0.3,1.25,3.38
25,,Chris Bootcheck,LAA,5,2,18.2,19,7,7,4,8,0,1,1,0,0.3,1.23,3.38
26,145,Matt Guerrier,MIN,43,0,71.2,71,29,27,24,46,0,3,0,0,0.8,1.33,3.39
27,146,Francisco Cordero,TEX,69,0,69.0,61,28,26,30,79,3,1,37,8,1.6,1.32,3.39
28,147,Kameron Loe,TEX,48,8,92.0,89,43,35,31,45,9,6,1,3,1.6,1.30,3.42
29,148,Julian Tavarez,STL,74,0,65.2,68,28,25,19,47,2,3,4,2,0.5,1.32,3.43
30,149,Chris Spurling,DET,56,0,70.2,58,30,27,22,26,3,4,0,1,0.6,1.13,3.44
31,150,Carlos Silva,MIN,27,27,188.1,212,83,72,9,71,9,8,0,0,3.3,1.17,3.44
32,RK,PLAYER,TEAM,GP,GS,IP,H,R,ER,BB,SO,W,L,SV,BLSV,WAR,WHIP,ERA
33,151,Shawn Chacon,NYY/COL,27,24,151.2,135,59,58,66,79,8,10,0,0,3.0,1.33,3.44
34,152,A.J. Burnett,FLA,32,32,209.0,184,97,80,79,198,12,12,0,0,3.2,1.26,3.44
35,,John Lackey,LAA,33,33,209.0,208,85,80,71,199,14,5,0,0,4.0,1.33,3.44
36,154,Kenny Rogers,TEX,30,30,195.1,205,86,75,53,87,14,8,0,0,4.5,1.32,3.46
37,155,Randy Flores,STL,50,0,41.2,37,22,16,13,43,3,1,1,2,-0.1,1.20,3.46
38,156,J.C. Romero,MIN,68,0,57.0,50,26,22,39,48,4,3,0,1,0.6,1.56,3.47
39,157,Bartolo Colon,LAA,33,33,222.2,215,93,86,43,157,21,8,0,0,3.7,1.16,3.48
40,158,Derek Thompson,LA,4,3,18.0,16,7,7,10,13,0,0,0,0,0.3,1.44,3.50
41,159,Jon Garland,CWS,32,32,221.0,212,93,86,47,115,18,10,0,0,4.3,1.17,3.50
42,160,Mike Hampton,ATL,12,12,69.1,74,28,27,18,27,5,3,0,0,1.0,1.33,3.50
0,161,Tim Hudson,ATL,29,29,192.0,194,79,75,65,115,14,9,0,0,3.1,1.35,3.52
1,162,Octavio Dotel,OAK,15,0,15.1,10,6,6,11,16,1,2,7,4,0.3,1.37,3.52
2,163,Joe Blanton,OAK,33,33,201.1,178,86,79,67,116,12,12,0,0,3.5,1.22,3.53
3,164,Tom Glavine,NYM,33,33,211.1,227,88,83,61,105,13,13,0,0,3.9,1.36,3.53
4,165,Pete Walker,TOR,41,4,84.0,81,33,33,33,43,6,6,2,3,1.5,1.36,3.54
5,166,Brandon Webb,ARI,33,33,229.0,229,98,90,59,172,14,12,0,0,4.6,1.26,3.54
6,167,Elmer Dessens,LA,28,7,65.2,63,30,26,19,37,1,2,0,0,0.5,1.25,3.56
7,168,Jeff Suppan,STL,32,32,194.1,206,93,77,63,114,16,10,0,0,1.3,1.38,3.57
8,169,Robinson Tejeda,PHI,26,13,85.2,67,36,34,51,72,4,3,0,0,1.1,1.38,3.57
9,170,Akinori Otsuka,SD,66,0,62.2,55,28,25,34,60,2,8,1,6,0.3,1.42,3.59
10,RK,PLAYER,TEAM,GP,GS,IP,H,R,ER,BB,SO,W,L,SV,BLSV,WAR,WHIP,ERA
11,171,Seth Greisinger,ATL,1,1,5.0,7,2,2,1,2,0,0,0,0,0.1,1.60,3.60
12,,Jon Rauch,WAS,15,1,30.0,24,12,12,11,23,2,4,0,0,0.4,1.17,3.60
13,,J.J. Putz,SEA,64,0,60.0,58,27,24,23,45,6,5,1,3,0.6,1.35,3.60
14,,Chad Orvella,TB,37,0,50.0,47,26,20,23,43,3,3,1,1,0.3,1.40,3.60
15,175,Jose Contreras,CWS,32,32,204.2,177,91,82,75,154,15,7,0,0,3.3,1.23,3.61
